pin1	p in1
pin2	p in2
pin3	p in3
pin4	p in4
pin5	p in5
pin6	p in6
pin7	p in7
pin8	p in8
pin9	p in9
pun1	p un1
pun2	p un2
pun3	p un3
pun4	p un4
pun5	p un5
pun6	p un6
pun7	p un7
pun8	p un8
pun9	p un9
pian1	p ian1
pian2	p ian2
pian3	p ian3
pian4	p ian4
pian5	p ian5
pian6	p ian6
pian7	p ian7
pian8	p ian8
pian9	p ian9
puan1	p uan1
puan2	p uan2
puan3	p uan3
puan4	p uan4
puan5	p uan5
puan6	p uan6
puan7	p uan7
puan8	p uan8
puan9	p uan9
pang1	p ang1
pang2	p ang2
pang3	p ang3
pang4	p ang4
pang5	p ang5
pang6	p ang6
pang7	p ang7
pang8	p ang8
pang9	p ang9
ping1	p ing1
ping2	p ing2
ping3	p ing3
ping4	p ing4
ping5	p ing5
ping6	p ing6
ping7	p ing7
ping8	p ing8
ping9	p ing9
pong1	p ong1
pong2	p ong2
pong3	p ong3
pong4	p ong4
pong5	p ong5
pong6	p ong6
pong7	p ong7
pong8	p ong8
pong9	p ong9
piang1	p iang1
piang2	p iang2
piang3	p iang3
piang4	p iang4
piang5	p iang5
piang6	p iang6
piang7	p iang7
piang8	p iang8
piang9	p iang9
piong1	p iong1
piong2	p iong2
piong3	p iong3
piong4	p iong4
piong5	p iong5
piong6	p iong6
piong7	p iong7
piong8	p iong8
piong9	p iong9
puang1	p uang1
puang2	p uang2
puang3	p uang3
puang4	p uang4
puang5	p uang5
puang6	p uang6
puang7	p uang7
puang8	p uang8
puang9	p uang9
pah1	p ah1
pah2	p ah2
pah3	p ah3
pah4	p ah4
pah5	p ah5
pah6	p ah6
pah7	p ah7
pah8	p ah8
pah9	p ah9
pih1	p ih1
pih2	p ih2
pih3	p ih3
pih4	p ih4
pih5	p ih5
pih6	p ih6
pih7	p ih7
pih8	p ih8
pih9	p ih9
puh1	p uh1
puh2	p uh2
puh3	p uh3
puh4	p uh4
puh5	p uh5
puh6	p uh6
puh7	p uh7
puh8	p uh8
puh9	p uh9
peh1	p eh1
peh2	p eh2
peh3	p eh3
peh4	p eh4
peh5	p eh5
peh6	p eh6
peh7	p eh7
peh8	p eh8
peh9	p eh9
poh1	p oh1
poh2	p oh2
poh3	p oh3
poh4	p oh4
poh5	p oh5
poh6	p oh6
poh7	p oh7
poh8	p oh8
poh9	p oh9
pauh1	p auh1
pauh2	p auh2
pauh3	p auh3
pauh4	p auh4
pauh5	p auh5
pauh6	p auh6
pauh7	p auh7
pauh8	p auh8
pauh9	p auh9
piah1	p iah1
piah2	p iah2
piah3	p iah3
piah4	p iah4
piah5	p iah5
piah6	p iah6
piah7	p iah7
piah8	p iah8
piah9	p iah9
piuh1	p iuh1
piuh2	p iuh2
piuh3	p iuh3
piuh4	p iuh4
piuh5	p iuh5
piuh6	p iuh6
piuh7	p iuh7
piuh8	p iuh8
piuh9	p iuh9
pioh1	p ioh1
pioh2	p ioh2
pioh3	p ioh3
pioh4	p ioh4
pioh5	p ioh5
pioh6	p ioh6
pioh7	p ioh7
pioh8	p ioh8
pioh9	p ioh9
puah1	p uah1
puah2	p uah2
puah3	p uah3
puah4	p uah4
puah5	p uah5
puah6	p uah6
puah7	p uah7
puah8	p uah8
puah9	p uah9
puih1	p uih1
puih2	p uih2
puih3	p uih3
puih4	p uih4
puih5	p uih5
puih6	p uih6
puih7	p uih7
puih8	p uih8
puih9	p uih9
pueh1	p ueh1
pueh2	p ueh2
pueh3	p ueh3
pueh4	p ueh4
pueh5	p ueh5
pueh6	p ueh6
pueh7	p ueh7
pueh8	p ueh8
pueh9	p ueh9
piauh1	p iauh1
piauh2	p iauh2
piauh3	p iauh3
piauh4	p iauh4
piauh5	p iauh5
piauh6	p iauh6
piauh7	p iauh7
piauh8	p iauh8
piauh9	p iauh9
pap1	p ap1
pap2	p ap2
pap3	p ap3
pap4	p ap4
pap5	p ap5
pap6	p ap6
pap7	p ap7
pap8	p ap8
pap9	p ap9
pip1	p ip1
pip2	p ip2
pip3	p ip3
pip4	p ip4
pip5	p ip5
pip6	p ip6
pip7	p ip7
pip8	p ip8
pip9	p ip9
pop1	p op1
pop2	p op2
pop3	p op3
pop4	p op4
pop5	p op5
pop6	p op6
pop7	p op7
pop8	p op8
pop9	p op9
piap1	p iap1
piap2	p iap2
piap3	p iap3
piap4	p iap4
piap5	p iap5
piap6	p iap6
piap7	p iap7
piap8	p iap8
piap9	p iap9
pat1	p at1
pat2	p at2
pat3	p at3
pat4	p at4
pat5	p at5
pat6	p at6
pat7	p at7
pat8	p at8
pat9	p at9
pit1	p it1
pit2	p it2
pit3	p it3
pit4	p it4
pit5	p it5
pit6	p it6
pit7	p it7
pit8	p it8
pit9	p it9
put1	p ut1
put2	p ut2
put3	p ut3
put4	p ut4
put5	p ut5
put6	p ut6
put7	p ut7
put8	p ut8
put9	p ut9
piat1	p iat1
piat2	p iat2
piat3	p iat3
piat4	p iat4
piat5	p iat5
piat6	p iat6
piat7	p iat7
piat8	p iat8
piat9	p iat9
puat1	p uat1
puat2	p uat2
puat3	p uat3
puat4	p uat4
puat5	p uat5
puat6	p uat6
puat7	p uat7
puat8	p uat8
puat9	p uat9
pak1	p ak1
pak2	p ak2
pak3	p ak3
pak4	p ak4
pak5	p ak5
pak6	p ak6
pak7	p ak7
pak8	p ak8
pak9	p ak9
pik1	p ik1
pik2	p ik2
pik3	p ik3
pik4	p ik4
pik5	p ik5
pik6	p ik6
pik7	p ik7
pik8	p ik8
pik9	p ik9
pok1	p ok1
pok2	p ok2
pok3	p ok3
pok4	p ok4
pok5	p ok5
pok6	p ok6
pok7	p ok7
pok8	p ok8
pok9	p ok9
piak1	p iak1
piak2	p iak2
piak3	p iak3
piak4	p iak4
piak5	p iak5
piak6	p iak6
piak7	p iak7
piak8	p iak8
piak9	p iak9
piok1	p iok1
piok2	p iok2
piok3	p iok3
piok4	p iok4
piok5	p iok5
piok6	p iok6
piok7	p iok7
piok8	p iok8
piok9	p iok9
pm1	p m1
pm2	p m2
pm3	p m3
pm4	p m4
pm5	p m5
pm6	p m6
pm7	p m7
pm8	p m8
pm9	p m9
png1	p ng1
png2	p ng2
png3	p ng3
png4	p ng4
png5	p ng5
png6	p ng6
png7	p ng7
png8	p ng8
png9	p ng9
pher1	ph er1
pher2	ph er2
pher3	ph er3
pher4	ph er4
pher5	ph er5
pher6	ph er6
pher7	ph er7
pher8	ph er8
pher9	ph er9
pherh1	ph erh1
pherh2	ph erh2
pherh3	ph erh3
pherh4	ph erh4
pherh5	ph erh5
pherh6	ph erh6
pherh7	ph erh7
pherh8	ph erh8
pherh9	ph erh9
phir1	ph ir1
phir2	ph ir2
phir3	ph ir3
phir4	ph ir4
phir5	ph ir5
phir6	ph ir6
phir7	ph ir7
phir8	ph ir8
phir9	ph ir9
phirh1	ph irh1
phirh2	ph irh2
phirh3	ph irh3
phirh4	ph irh4
phirh5	ph irh5
phirh6	ph irh6
phirh7	ph irh7
phirh8	ph irh8
phirh9	ph irh9
phere1	ph ere1
phere2	ph ere2
phere3	ph ere3
phere4	ph ere4
phere5	ph ere5
phere6	ph ere6
phere7	ph ere7
phere8	ph ere8
phere9	ph ere9
phereh1	ph ereh1
phereh2	ph ereh2
phereh3	ph ereh3
phereh4	ph ereh4
phereh5	ph ereh5
phereh6	ph ereh6
phereh7	ph ereh7
phereh8	ph ereh8
phereh9	ph ereh9
pha1	ph a1
pha2	ph a2
pha3	ph a3
pha4	ph a4
pha5	ph a5
pha6	ph a6
pha7	ph a7
pha8	ph a8
pha9	ph a9
phi1	ph i1
phi2	ph i2
phi3	ph i3
phi4	ph i4
phi5	ph i5
phi6	ph i6
phi7	ph i7
phi8	ph i8
phi9	ph i9
phu1	ph u1
phu2	ph u2
phu3	ph u3
phu4	ph u4
phu5	ph u5
phu6	ph u6
phu7	ph u7
phu8	ph u8
phu9	ph u9
phe1	ph e1
phe2	ph e2
phe3	ph e3
phe4	ph e4
phe5	ph e5
phe6	ph e6
phe7	ph e7
phe8	ph e8
phe9	ph e9
pho1	ph o1
pho2	ph o2
pho3	ph o3
pho4	ph o4
pho5	ph o5
pho6	ph o6
pho7	ph o7
pho8	ph o8
pho9	ph o9
phoo1	ph oo1
phoo2	ph oo2
phoo3	ph oo3
phoo4	ph oo4
phoo5	ph oo5
phoo6	ph oo6
phoo7	ph oo7
phoo8	ph oo8
phoo9	ph oo9
phai1	ph ai1
phai2	ph ai2
phai3	ph ai3
phai4	ph ai4
phai5	ph ai5
phai6	ph ai6
phai7	ph ai7
phai8	ph ai8
phai9	ph ai9
phau1	ph au1
phau2	ph au2
phau3	ph au3
phau4	ph au4
phau5	ph au5
phau6	ph au6
phau7	ph au7
phau8	ph au8
phau9	ph au9
phia1	ph ia1
phia2	ph ia2
phia3	ph ia3
phia4	ph ia4
phia5	ph ia5
phia6	ph ia6
phia7	ph ia7
phia8	ph ia8
phia9	ph ia9
phiu1	ph iu1
phiu2	ph iu2
phiu3	ph iu3
phiu4	ph iu4
phiu5	ph iu5
phiu6	ph iu6
phiu7	ph iu7
phiu8	ph iu8
phiu9	ph iu9
phio1	ph io1
phio2	ph io2
phio3	ph io3
phio4	ph io4
phio5	ph io5
phio6	ph io6
phio7	ph io7
phio8	ph io8
phio9	ph io9
phua1	ph ua1
phua2	ph ua2
phua3	ph ua3
phua4	ph ua4
phua5	ph ua5
phua6	ph ua6
phua7	ph ua7
phua8	ph ua8
phua9	ph ua9
phui1	ph ui1
phui2	ph ui2
phui3	ph ui3
phui4	ph ui4
phui5	ph ui5
phui6	ph ui6
phui7	ph ui7
phui8	ph ui8
phui9	ph ui9
phue1	ph ue1
phue2	ph ue2
phue3	ph ue3
phue4	ph ue4
phue5	ph ue5
phue6	ph ue6
phue7	ph ue7
phue8	ph ue8
phue9	ph ue9
phiau1	ph iau1
phiau2	ph iau2
phiau3	ph iau3
phiau4	ph iau4
phiau5	ph iau5
phiau6	ph iau6
phiau7	ph iau7
phiau8	ph iau8
phiau9	ph iau9
phuai1	ph uai1
phuai2	ph uai2
phuai3	ph uai3
